Country,Concept,LocalTerm,table_index,table_heading
Guatemala,Aparato que calienta el agua para usos domésticos y cuya fuente de calor es el gas o la electricidad Calentador de agua,"calentador, terma, boiler",52,"Máquinas, técnica y materiales (4)"
México,Aparato que calienta el agua para usos domésticos y cuya fuente de calor es el gas o la electricidad Calentador de agua,"calentador, boiler",52,"Máquinas, técnica y materiales (4)"
Puerto Rico,Aparato que calienta el agua para usos domésticos y cuya fuente de calor es el gas o la electricidad Calentador de agua,calentador,52,"Máquinas, técnica y materiales (4)"
España,"Aparato que consta de dos de estas piezas que, unidas, se acoplan a los oídos para la recepción del sonido Auricular","auricular, casco",52,"Máquinas, técnica y materiales (4)"
Guatemala,"Aparato que consta de dos de estas piezas que, unidas, se acoplan a los oídos para la recepción del sonido Auricular",audífono,52,"Máquinas, técnica y materiales (4)"
México,"Aparato que consta de dos de estas piezas que, unidas, se acoplan a los oídos para la recepción del sonido Auricular","audífono, auricular",52,"Máquinas, técnica y materiales (4)"
Puerto Rico,"Aparato que consta de dos de estas piezas que, unidas, se acoplan a los oídos para la recepción del sonido Auricular",audífono,52,"Máquinas, técnica y materiales (4)"
España,Dispositivo destinado a conectar o desconectar la luz de una vivienda o un aparato de tipo eléctrico Interruptor,"interruptor (de luz), llave (de luz)",53,"Máquinas, técnica y materiales (5)"
Guatemala,Dispositivo destinado a conectar o desconectar la luz de una vivienda o un aparato de tipo eléctrico Interruptor,apagador,53,"Máquinas, técnica y materiales (5)"
México,Dispositivo destinado a conectar o desconectar la luz de una vivienda o un aparato de tipo eléctrico Interruptor,"apagador, interruptor (de luz), (el) switch",53,"Máquinas, técnica y materiales (5)"
Puerto Rico,Dispositivo destinado a conectar o desconectar la luz de una vivienda o un aparato de tipo eléctrico Interruptor,"(el) switch, (el) suiche, interruptor (de luz)",53,"Máquinas, técnica y materiales (5)"
España,Dispositivo de almacenamiento de datos que utiliza circuitos de estado sólido para guardar datos e información Memoria USB,"pincho, (el) pen (drive), dispositivo USB, lápiz de memoria, (el) USB, memoria USB",53,"Máquinas, técnica y materiales (5)"
Guatemala,Dispositivo de almacenamiento de datos que utiliza circuitos de estado sólido para guardar datos e información Memoria USB,memoria,53,"Máquinas, técnica y materiales (5)"
México,Dispositivo de almacenamiento de datos que utiliza circuitos de estado sólido para guardar datos e información Memoria USB,"memoria (USB), (la) USB",53,"Máquinas, técnica y materiales (5)"
Puerto Rico,Dispositivo de almacenamiento de datos que utiliza circuitos de estado sólido para guardar datos e información Memoria USB,"(el) pen (drive), (el) USB, chuchito, memoria",53,"Máquinas, técnica y materiales (5)"
España,"Material plástico espumado, derivado del poliestireno. Tiene diversos usos tales como el producir envases, aditamentos de construcción o tablas de surf accesibles de bajo costo Poliestireno expandido","corcho blanco, forexpan, poliespán, porexpán",53,"Máquinas, técnica y materiales (5)"
Guatemala,"Material plástico espumado, derivado del poliestireno. Tiene diversos usos tales como el producir envases, aditamentos de construcción o tablas de surf accesibles de bajo costo Poliestireno expandido",(el) duropor(t),53,"Máquinas, técnica y materiales (5)"
México,"Material plástico espumado, derivado del poliestireno. Tiene diversos usos tales como el producir envases, aditamentos de construcción o tablas de surf accesibles de bajo costo Poliestireno expandido","(el) unicel, (el) foam, corcho, hielo seco, nieve seca, poliestireno",53,"Máquinas, técnica y materiales (5)"
Puerto Rico,"Material plástico espumado, derivado del poliestireno. Tiene diversos usos tales como el producir envases, aditamentos de construcción o tablas de surf accesibles de bajo costo Poliestireno expandido","(el) foam, espuma de poliestireno",53,"Máquinas, técnica y materiales (5)"
España,Herramienta que sirve para hacer agujeros en materiales duros mediante una broca; la broca se hace girar (por procedimientos mecánicos o eléctricos) y horada la superficie Taladradora,"taladro, taladradora",53,"Máquinas, técnica y materiales (5)"
Guatemala,Herramienta que sirve para hacer agujeros en materiales duros mediante una broca; la broca se hace girar (por procedimientos mecánicos o eléctricos) y horada la superficie Taladradora,barreno,53,"Máquinas, técnica y materiales (5)"
México,Herramienta que sirve para hacer agujeros en materiales duros mediante una broca; la broca se hace girar (por procedimientos mecánicos o eléctricos) y horada la superficie Taladradora,taladro,53,"Máquinas, técnica y materiales (5)"
Puerto Rico,Herramienta que sirve para hacer agujeros en materiales duros mediante una broca; la broca se hace girar (por procedimientos mecánicos o eléctricos) y horada la superficie Taladradora,barreno,53,"Máquinas, técnica y materiales (5)"
España,Aparato electrónico conectado al teléfono que permite a la persona que llama dejar mensajes cuando el receptor no descuelga el auricular para que este los pueda escuchar posteriormente Contestador automático,contestador (automático),53,"Máquinas, técnica y materiales (5)"
Guatemala,Aparato electrónico conectado al teléfono que permite a la persona que llama dejar mensajes cuando el receptor no descuelga el auricular para que este los pueda escuchar posteriormente Contestador automático,contestadora (automática),53,"Máquinas, técnica y materiales (5)"
México,Aparato electrónico conectado al teléfono que permite a la persona que llama dejar mensajes cuando el receptor no descuelga el auricular para que este los pueda escuchar posteriormente Contestador automático,"contestadora (automática), contestador (automático)",53,"Máquinas, técnica y materiales (5)"
Puerto Rico,Aparato electrónico conectado al teléfono que permite a la persona que llama dejar mensajes cuando el receptor no descuelga el auricular para que este los pueda escuchar posteriormente Contestador automático,"contestadora, contestador",53,"Máquinas, técnica y materiales (5)"
España,Pieza que se adapta a un enchufe para permitir la toma de corriente a varios aparatos a la vez Regleta multicontactos,"ladrón, alargador, base múltiple, regleta, base de enchufe, enchufe múltiple, zapatilla, regleta de enchufes, regleta multienchufe, regleta multitoma",53,"Máquinas, técnica y materiales (5)"
Guatemala,Pieza que se adapta a un enchufe para permitir la toma de corriente a varios aparatos a la vez Regleta multicontactos,regleta,53,"Máquinas, técnica y materiales (5)"
México,Pieza que se adapta a un enchufe para permitir la toma de corriente a varios aparatos a la vez Regleta multicontactos,"multicontacto, contacto múltiple, extensión, regleta, barra de contactos, supresor de picos, ladrón",53,"Máquinas, técnica y materiales (5)"
Puerto Rico,Pieza que se adapta a un enchufe para permitir la toma de corriente a varios aparatos a la vez Regleta multicontactos,"extension cord, multiplug, extensión multienchufe",53,"Máquinas, técnica y materiales (5)"
España,Toma de agua diseñada para proporcionar un caudal considerable en caso de incendio Hidrante de incendio,boca de incendio,53,"Máquinas, técnica y materiales (5)"
Guatemala,Toma de agua diseñada para proporcionar un caudal considerable en caso de incendio Hidrante de incendio,hidrante,53,"Máquinas, técnica y materiales (5)"
México,Toma de agua diseñada para proporcionar un caudal considerable en caso de incendio Hidrante de incendio,"hidrante, toma de agua",53,"Máquinas, técnica y materiales (5)"
Puerto Rico,Toma de agua diseñada para proporcionar un caudal considerable en caso de incendio Hidrante de incendio,hidrante,53,"Máquinas, técnica y materiales (5)"
España,Símbolo de forma # Almohadilla,almohadilla,54,"Máquinas, técnica y materiales (6)"
Guatemala,Símbolo de forma # Almohadilla,numeral,54,"Máquinas, técnica y materiales (6)"
México,Símbolo de forma # Almohadilla,"gato, hash, (signo de) número, numeral",54,"Máquinas, técnica y materiales (6)"
Puerto Rico,Símbolo de forma # Almohadilla,"signo de número, símbolo de número",54,"Máquinas, técnica y materiales (6)"
España,Cartucho de película fotográfica que se introduce en una cámara Película fotográfica,carrete,54,"Máquinas, técnica y materiales (6)"
Guatemala,Cartucho de película fotográfica que se introduce en una cámara Película fotográfica,rollo,54,"Máquinas, técnica y materiales (6)"
México,Cartucho de película fotográfica que se introduce en una cámara Película fotográfica,rollo,54,"Máquinas, técnica y materiales (6)"
Puerto Rico,Cartucho de película fotográfica que se introduce en una cámara Película fotográfica,rollo,54,"Máquinas, técnica y materiales (6)"
España,Alambre provisto de puntas metálicas a intervalos regulares Alambre de púas,alambre de espino,54,"Máquinas, técnica y materiales (6)"
Guatemala,Alambre provisto de puntas metálicas a intervalos regulares Alambre de púas,alambre de púas,54,"Máquinas, técnica y materiales (6)"
México,Alambre provisto de puntas metálicas a intervalos regulares Alambre de púas,alambre de púas,54,"Máquinas, técnica y materiales (6)"
Puerto Rico,Alambre provisto de puntas metálicas a intervalos regulares Alambre de púas,alambre de púas,54,"Máquinas, técnica y materiales (6)"
España,Ovni de apariencia discoidal Unnamed: 4_level_1,platillo volante,54,"Máquinas, técnica y materiales (6)"
Guatemala,Ovni de apariencia discoidal Unnamed: 4_level_1,platillo volador,54,"Máquinas, técnica y materiales (6)"
México,Ovni de apariencia discoidal Unnamed: 4_level_1,platillo volador,54,"Máquinas, técnica y materiales (6)"
Puerto Rico,Ovni de apariencia discoidal Unnamed: 4_level_1,platillo volador,54,"Máquinas, técnica y materiales (6)"
España,Aparato eléctrico que recibe las ondas de radiotelegrafía o radiotelefonía y las transforma en sonidos o señales Radio (receptor),(la) radio,54,"Máquinas, técnica y materiales (6)"
Guatemala,Aparato eléctrico que recibe las ondas de radiotelegrafía o radiotelefonía y las transforma en sonidos o señales Radio (receptor),(el) radio,54,"Máquinas, técnica y materiales (6)"
México,Aparato eléctrico que recibe las ondas de radiotelegrafía o radiotelefonía y las transforma en sonidos o señales Radio (receptor),"(el) radio, (la) radio",54,"Máquinas, técnica y materiales (6)"
Puerto Rico,Aparato eléctrico que recibe las ondas de radiotelegrafía o radiotelefonía y las transforma en sonidos o señales Radio (receptor),(el) radio,54,"Máquinas, técnica y materiales (6)"
España,"Conjunto de aparatos para oír y grabar música, que consta de un juego de altavoces y de diferentes partes dependiendo de su grado de modernidad Equipo musical",(mini)cadena de música,54,"Máquinas, técnica y materiales (6)"
Guatemala,"Conjunto de aparatos para oír y grabar música, que consta de un juego de altavoces y de diferentes partes dependiendo de su grado de modernidad Equipo musical","equipo de sonido, minicomponente",54,"Máquinas, técnica y materiales (6)"
México,"Conjunto de aparatos para oír y grabar música, que consta de un juego de altavoces y de diferentes partes dependiendo de su grado de modernidad Equipo musical","equipo de música, quipo de sonido, aparato de música, estéreo, minicomponente, equipo modular",54,"Máquinas, técnica y materiales (6)"
Puerto Rico,"Conjunto de aparatos para oír y grabar música, que consta de un juego de altavoces y de diferentes partes dependiendo de su grado de modernidad Equipo musical","equipo de sonido, componente de música",54,"Máquinas, técnica y materiales (6)"
España,"Nombre industrial de ciertos gramófonos eléctricos, instalados por lo general en establecimientos públicos y que, al depositar en ellos una moneda, hacen oír determinados discos Jukebox","gramola, rocola, rockola, (la o el) jukebox",54,"Máquinas, técnica y materiales (6)"
Guatemala,"Nombre industrial de ciertos gramófonos eléctricos, instalados por lo general en establecimientos públicos y que, al depositar en ellos una moneda, hacen oír determinados discos Jukebox","rocola, rockola",54,"Máquinas, técnica y materiales (6)"
México,"Nombre industrial de ciertos gramófonos eléctricos, instalados por lo general en establecimientos públicos y que, al depositar en ellos una moneda, hacen oír determinados discos Jukebox","rocola, rockola, sinfonola",54,"Máquinas, técnica y materiales (6)"
Puerto Rico,"Nombre industrial de ciertos gramófonos eléctricos, instalados por lo general en establecimientos públicos y que, al depositar en ellos una moneda, hacen oír determinados discos Jukebox",vellonera,54,"Máquinas, técnica y materiales (6)"
España,"Actividad relacionada con la instalación y mantenimiento de redes de tuberías para el abastecimiento de agua potable y evacuación de aguas residuales, así como las instalaciones de calefacción en edificaciones y otras construcciones Fontanería",fontanería,55,"Máquinas, técnica y materiales (7)"
Guatemala,"Actividad relacionada con la instalación y mantenimiento de redes de tuberías para el abastecimiento de agua potable y evacuación de aguas residuales, así como las instalaciones de calefacción en edificaciones y otras construcciones Fontanería",plomería,55,"Máquinas, técnica y materiales (7)"
México,"Actividad relacionada con la instalación y mantenimiento de redes de tuberías para el abastecimiento de agua potable y evacuación de aguas residuales, así como las instalaciones de calefacción en edificaciones y otras construcciones Fontanería","plomería, fontanería",55,"Máquinas, técnica y materiales (7)"
Puerto Rico,"Actividad relacionada con la instalación y mantenimiento de redes de tuberías para el abastecimiento de agua potable y evacuación de aguas residuales, así como las instalaciones de calefacción en edificaciones y otras construcciones Fontanería",plomería,55,"Máquinas, técnica y materiales (7)"
España,Dar vueltas a un tornillo para sacarlo del lugar donde está o dejarlo menos apretado Unnamed: 2_level_1,desatornillar,55,"Máquinas, técnica y materiales (7)"
Guatemala,Dar vueltas a un tornillo para sacarlo del lugar donde está o dejarlo menos apretado Unnamed: 2_level_1,"desatornillar, destornillar",55,"Máquinas, técnica y materiales (7)"
México,Dar vueltas a un tornillo para sacarlo del lugar donde está o dejarlo menos apretado Unnamed: 2_level_1,"desatornillar, desarmar",55,"Máquinas, técnica y materiales (7)"
Puerto Rico,Dar vueltas a un tornillo para sacarlo del lugar donde está o dejarlo menos apretado Unnamed: 2_level_1,desatornillar,55,"Máquinas, técnica y materiales (7)"
España,Plataforma de madera sobre la que se apila mercancía pesada y que puede elevarse o moverse utilizando un toro o carretilla elevadora Palé,"(el) palé, paleta, tarima, (el) palet",55,"Máquinas, técnica y materiales (7)"
Guatemala,Plataforma de madera sobre la que se apila mercancía pesada y que puede elevarse o moverse utilizando un toro o carretilla elevadora Palé,(el) pálet,55,"Máquinas, técnica y materiales (7)"
México,Plataforma de madera sobre la que se apila mercancía pesada y que puede elevarse o moverse utilizando un toro o carretilla elevadora Palé,"(el) pálet, paleta, tarima",55,"Máquinas, técnica y materiales (7)"
Puerto Rico,Plataforma de madera sobre la que se apila mercancía pesada y que puede elevarse o moverse utilizando un toro o carretilla elevadora Palé,paleta,55,"Máquinas, técnica y materiales (7)"
España,"Vehículo pequeño de una sola plaza, provisto de motor eléctrico y de unas horquillas o ganchos horizontales móviles en su parte frontal, que sirve para transportar mercancías a corta distancia Carretilla elevadora","carretilla elevadora, toro (elevador), torito, horquilla, fenwick",55,"Máquinas, técnica y materiales (7)"
Guatemala,"Vehículo pequeño de una sola plaza, provisto de motor eléctrico y de unas horquillas o ganchos horizontales móviles en su parte frontal, que sirve para transportar mercancías a corta distancia Carretilla elevadora",montacargas,55,"Máquinas, técnica y materiales (7)"
México,"Vehículo pequeño de una sola plaza, provisto de motor eléctrico y de unas horquillas o ganchos horizontales móviles en su parte frontal, que sirve para transportar mercancías a corta distancia Carretilla elevadora",montacargas,55,"Máquinas, técnica y materiales (7)"
Puerto Rico,"Vehículo pequeño de una sola plaza, provisto de motor eléctrico y de unas horquillas o ganchos horizontales móviles en su parte frontal, que sirve para transportar mercancías a corta distancia Carretilla elevadora",(el) montacarga,55,"Máquinas, técnica y materiales (7)"
España,Tapar los huecos de una pared con yeso Unnamed: 5_level_1,emplastar,55,"Máquinas, técnica y materiales (7)"
Guatemala,Tapar los huecos de una pared con yeso Unnamed: 5_level_1,repellar,55,"Máquinas, técnica y materiales (7)"
México,Tapar los huecos de una pared con yeso Unnamed: 5_level_1,"repellar, enjarrar, resanar, emplastar",55,"Máquinas, técnica y materiales (7)"
Puerto Rico,Tapar los huecos de una pared con yeso Unnamed: 5_level_1,empañetar,55,"Máquinas, técnica y materiales (7)"
España,Dispositivo que permite el cobro mediante tarjeta a los clientes que compran o consumen en un determinado establecimiento comercial Datáfono,"datáfono, (la) terminal, (la) TPV, (terminal de) punto de venta",55,"Máquinas, técnica y materiales (7)"
Guatemala,Dispositivo que permite el cobro mediante tarjeta a los clientes que compran o consumen en un determinado establecimiento comercial Datáfono,(el) POS (/pe o ese/),55,"Máquinas, técnica y materiales (7)"
México,Dispositivo que permite el cobro mediante tarjeta a los clientes que compran o consumen en un determinado establecimiento comercial Datáfono,"(la) terminal (bancaria), pasatarjetas, terminal de punto de venta",55,"Máquinas, técnica y materiales (7)"
Puerto Rico,Dispositivo que permite el cobro mediante tarjeta a los clientes que compran o consumen en un determinado establecimiento comercial Datáfono,"(la) terminal de PIN, teclado de PIN, (la) terminal de venta",55,"Máquinas, técnica y materiales (7)"
España,"En una instalación eléctrica, placa con una o más ranuras en las que se introducen las patillas de un enchufe para establecer una conexión eléctrica Enchufe","enchufe, (la) toma de corriente",56,"Máquinas, técnica y materiales (8)"
Guatemala,"En una instalación eléctrica, placa con una o más ranuras en las que se introducen las patillas de un enchufe para establecer una conexión eléctrica Enchufe",enchufle,56,"Máquinas, técnica y materiales (8)"
México,"En una instalación eléctrica, placa con una o más ranuras en las que se introducen las patillas de un enchufe para establecer una conexión eléctrica Enchufe","contacto, tomacorriente(s), (la) toma",56,"Máquinas, técnica y materiales (8)"
Puerto Rico,"En una instalación eléctrica, placa con una o más ranuras en las que se introducen las patillas de un enchufe para establecer una conexión eléctrica Enchufe",enchufe,56,"Máquinas, técnica y materiales (8)"
España,Pieza de material aislante con dos o tres salientes metálicos que sirve para conectar un aparato a la red eléctrica Enchufe,"enchufe, clavija",56,"Máquinas, técnica y materiales (8)"
Guatemala,Pieza de material aislante con dos o tres salientes metálicos que sirve para conectar un aparato a la red eléctrica Enchufe,tomacorriente,56,"Máquinas, técnica y materiales (8)"
México,Pieza de material aislante con dos o tres salientes metálicos que sirve para conectar un aparato a la red eléctrica Enchufe,"enchufe, clavija",56,"Máquinas, técnica y materiales (8)"
Puerto Rico,Pieza de material aislante con dos o tres salientes metálicos que sirve para conectar un aparato a la red eléctrica Enchufe,cable eléctrico,56,"Máquinas, técnica y materiales (8)"
España,"Recipiente grande generalmente abierto, utilizado para depositar y transportar diversos materiales o desechos de obra Unnamed: 3_level_1",contenedor,56,"Máquinas, técnica y materiales (8)"
Guatemala,"Recipiente grande generalmente abierto, utilizado para depositar y transportar diversos materiales o desechos de obra Unnamed: 3_level_1",contenedor,56,"Máquinas, técnica y materiales (8)"
México,"Recipiente grande generalmente abierto, utilizado para depositar y transportar diversos materiales o desechos de obra Unnamed: 3_level_1","contenedor, basurero",56,"Máquinas, técnica y materiales (8)"
Puerto Rico,"Recipiente grande generalmente abierto, utilizado para depositar y transportar diversos materiales o desechos de obra Unnamed: 3_level_1",contenedor,56,"Máquinas, técnica y materiales (8)"
España,"Material compuesto empleado en construcción, formado esencialmente por un aglomerante al que se añade áridos (agregado), agua y aditivos específicos Concreto",hormigón,56,"Máquinas, técnica y materiales (8)"
Guatemala,"Material compuesto empleado en construcción, formado esencialmente por un aglomerante al que se añade áridos (agregado), agua y aditivos específicos Concreto",concreto,56,"Máquinas, técnica y materiales (8)"
México,"Material compuesto empleado en construcción, formado esencialmente por un aglomerante al que se añade áridos (agregado), agua y aditivos específicos Concreto",concreto,56,"Máquinas, técnica y materiales (8)"
Puerto Rico,"Material compuesto empleado en construcción, formado esencialmente por un aglomerante al que se añade áridos (agregado), agua y aditivos específicos Concreto","concreto, hormigón",56,"Máquinas, técnica y materiales (8)"
España,"Mezcla de diversos materiales, como cal o cemento, arena y agua, que se usa en la construcción para fijar ladrillos y cubrir paredes Argamasa","argamasa, mezcla, mortero",56,"Máquinas, técnica y materiales (8)"
Guatemala,"Mezcla de diversos materiales, como cal o cemento, arena y agua, que se usa en la construcción para fijar ladrillos y cubrir paredes Argamasa",mezcla,56,"Máquinas, técnica y materiales (8)"
México,"Mezcla de diversos materiales, como cal o cemento, arena y agua, que se usa en la construcción para fijar ladrillos y cubrir paredes Argamasa",mezcla,56,"Máquinas, técnica y materiales (8)"
Puerto Rico,"Mezcla de diversos materiales, como cal o cemento, arena y agua, que se usa en la construcción para fijar ladrillos y cubrir paredes Argamasa","argamasa, mezcla, mortero",56,"Máquinas, técnica y materiales (8)"
España,Mezcla utilizada en albañilería para sellar grietas o realizar juntas de mampostería Lechada de rejunte,lechada,57,"Máquinas, técnica y materiales (9)"
Guatemala,Mezcla utilizada en albañilería para sellar grietas o realizar juntas de mampostería Lechada de rejunte,estuque,57,"Máquinas, técnica y materiales (9)"
México,Mezcla utilizada en albañilería para sellar grietas o realizar juntas de mampostería Lechada de rejunte,"marmolina, boquilla, junteador, junta",57,"Máquinas, técnica y materiales (9)"
Puerto Rico,Mezcla utilizada en albañilería para sellar grietas o realizar juntas de mampostería Lechada de rejunte,lechada,57,"Máquinas, técnica y materiales (9)"
España,Máquina para recortar el césped en los jardines Cortacésped,cortacésped,57,"Máquinas, técnica y materiales (9)"
Guatemala,Máquina para recortar el césped en los jardines Cortacésped,podadora,57,"Máquinas, técnica y materiales (9)"
México,Máquina para recortar el césped en los jardines Cortacésped,"podadora (de pasto), segadora, podadora de jardín, chapeadora",57,"Máquinas, técnica y materiales (9)"
Puerto Rico,Máquina para recortar el césped en los jardines Cortacésped,"cortadora de césped, cortadora de grama, podadora",57,"Máquinas, técnica y materiales (9)"
España,Máquina que se pone en marcha automáticamente al introducirle una o varias monedas y da premios en metálico al azar Máquinas tragamonedas,"tragaperras, máquina de juego, máquina tragamonedas, (la o el) slot",57,"Máquinas, técnica y materiales (9)"
Guatemala,Máquina que se pone en marcha automáticamente al introducirle una o varias monedas y da premios en metálico al azar Máquinas tragamonedas,tragamonedas,57,"Máquinas, técnica y materiales (9)"
México,Máquina que se pone en marcha automáticamente al introducirle una o varias monedas y da premios en metálico al azar Máquinas tragamonedas,maquinita,57,"Máquinas, técnica y materiales (9)"
Puerto Rico,Máquina que se pone en marcha automáticamente al introducirle una o varias monedas y da premios en metálico al azar Máquinas tragamonedas,tragamonedas,57,"Máquinas, técnica y materiales (9)"
España,"Estufa de cocina especialmente diseñada para ser portátil y ligera, utilizada en campamentos, picnics, excursiones o cualquier otro uso en lugares remotos donde se necesita un medio de cocción o calentamiento fácilmente transportable Hornillo","camping gas, fogón, hornillo, hornilla",57,"Máquinas, técnica y materiales (9)"
Guatemala,"Estufa de cocina especialmente diseñada para ser portátil y ligera, utilizada en campamentos, picnics, excursiones o cualquier otro uso en lugares remotos donde se necesita un medio de cocción o calentamiento fácilmente transportable Hornillo",estufa portátil,57,"Máquinas, técnica y materiales (9)"
México,"Estufa de cocina especialmente diseñada para ser portátil y ligera, utilizada en campamentos, picnics, excursiones o cualquier otro uso en lugares remotos donde se necesita un medio de cocción o calentamiento fácilmente transportable Hornillo","estufón, hornilla, parrilla (eléctrica), (el) quinqué, estufa, cocineta, quemador, anafre",57,"Máquinas, técnica y materiales (9)"
Puerto Rico,"Estufa de cocina especialmente diseñada para ser portátil y ligera, utilizada en campamentos, picnics, excursiones o cualquier otro uso en lugares remotos donde se necesita un medio de cocción o calentamiento fácilmente transportable Hornillo","estufa portátil, hornilla portátil",57,"Máquinas, técnica y materiales (9)"
España,"Líquido inflamable, transparente (o con ligera coloración amarillenta, dependiendo de la fracción que se extraiga), mezcla de hidrocarburos, que se obtiene de la destilación del petróleo natural. Fue utilizado en un principio en estufas y lámparas, y en la actualidad se usa como combustible de aviones de reacción y en la fabricación de insecticidas Queroseno",queroseno,57,"Máquinas, técnica y materiales (9)"
Guatemala,"Líquido inflamable, transparente (o con ligera coloración amarillenta, dependiendo de la fracción que se extraiga), mezcla de hidrocarburos, que se obtiene de la destilación del petróleo natural. Fue utilizado en un principio en estufas y lámparas, y en la actualidad se usa como combustible de aviones de reacción y en la fabricación de insecticidas Queroseno",gas (corriente),57,"Máquinas, técnica y materiales (9)"
México,"Líquido inflamable, transparente (o con ligera coloración amarillenta, dependiendo de la fracción que se extraiga), mezcla de hidrocarburos, que se obtiene de la destilación del petróleo natural. Fue utilizado en un principio en estufas y lámparas, y en la actualidad se usa como combustible de aviones de reacción y en la fabricación de insecticidas Queroseno","petróleo, queroseno",57,"Máquinas, técnica y materiales (9)"
Puerto Rico,"Líquido inflamable, transparente (o con ligera coloración amarillenta, dependiendo de la fracción que se extraiga), mezcla de hidrocarburos, que se obtiene de la destilación del petróleo natural. Fue utilizado en un principio en estufas y lámparas, y en la actualidad se usa como combustible de aviones de reacción y en la fabricación de insecticidas Queroseno",kerosén,57,"Máquinas, técnica y materiales (9)"
España,Computadora portátil con pantalla táctil que tiene una forma rectangular y ofrece las mismas utilidades que una computadora estándar; no es necesario usar un teclado ni un ratón para trabajar con ella Tableta (computadora),"(la) tablet, tableta",58,"Máquinas, técnica y materiales (10)"
Guatemala,Computadora portátil con pantalla táctil que tiene una forma rectangular y ofrece las mismas utilidades que una computadora estándar; no es necesario usar un teclado ni un ratón para trabajar con ella Tableta (computadora),(la) tablet,58,"Máquinas, técnica y materiales (10)"
México,Computadora portátil con pantalla táctil que tiene una forma rectangular y ofrece las mismas utilidades que una computadora estándar; no es necesario usar un teclado ni un ratón para trabajar con ella Tableta (computadora),"(el) tablet, (la) tablet, tableta",58,"Máquinas, técnica y materiales (10)"
Puerto Rico,Computadora portátil con pantalla táctil que tiene una forma rectangular y ofrece las mismas utilidades que una computadora estándar; no es necesario usar un teclado ni un ratón para trabajar con ella Tableta (computadora),(la) tablet,58,"Máquinas, técnica y materiales (10)"
España,Dispositivo que permite interconectar redes con distinto prefijo en su dirección IP. Su función es la de establecer la mejor ruta que destinará a cada paquete de datos para llegar a la red y al dispositivo de destino Rúter,rúter o router,58,"Máquinas, técnica y materiales (10)"
Guatemala,Dispositivo que permite interconectar redes con distinto prefijo en su dirección IP. Su función es la de establecer la mejor ruta que destinará a cada paquete de datos para llegar a la red y al dispositivo de destino Rúter,rúter o router,58,"Máquinas, técnica y materiales (10)"
México,Dispositivo que permite interconectar redes con distinto prefijo en su dirección IP. Su función es la de establecer la mejor ruta que destinará a cada paquete de datos para llegar a la red y al dispositivo de destino Rúter,"enrutador, rúter o router",58,"Máquinas, técnica y materiales (10)"
Puerto Rico,Dispositivo que permite interconectar redes con distinto prefijo en su dirección IP. Su función es la de establecer la mejor ruta que destinará a cada paquete de datos para llegar a la red y al dispositivo de destino Rúter,router (/ráuter/ o /rúter/),58,"Máquinas, técnica y materiales (10)"
España,"Interrupción súbita, accidental y pasajera de la luz eléctrica Apagón eléctrico",corte de luz,58,"Máquinas, técnica y materiales (10)"
Guatemala,"Interrupción súbita, accidental y pasajera de la luz eléctrica Apagón eléctrico",apagón,58,"Máquinas, técnica y materiales (10)"
México,"Interrupción súbita, accidental y pasajera de la luz eléctrica Apagón eléctrico",apagón,58,"Máquinas, técnica y materiales (10)"
Puerto Rico,"Interrupción súbita, accidental y pasajera de la luz eléctrica Apagón eléctrico",apagón,58,"Máquinas, técnica y materiales (10)"
España,"Aparato electrodoméstico de línea blanca que tiene un ventilador inserto en la carcasa; se coloca encima de la cocina, y se utiliza para aspirar y extraer los productos de combustión, el humo, los olores, el calor, la grasa en suspensión y el vapor del aire, mediante una combinación de filtrado y la evacuación del aire Campana extractora","campana (extractora), extractor (de humos)",58,"Máquinas, técnica y materiales (10)"
Guatemala,"Aparato electrodoméstico de línea blanca que tiene un ventilador inserto en la carcasa; se coloca encima de la cocina, y se utiliza para aspirar y extraer los productos de combustión, el humo, los olores, el calor, la grasa en suspensión y el vapor del aire, mediante una combinación de filtrado y la evacuación del aire Campana extractora","campana extractora, extractor",58,"Máquinas, técnica y materiales (10)"
México,"Aparato electrodoméstico de línea blanca que tiene un ventilador inserto en la carcasa; se coloca encima de la cocina, y se utiliza para aspirar y extraer los productos de combustión, el humo, los olores, el calor, la grasa en suspensión y el vapor del aire, mediante una combinación de filtrado y la evacuación del aire Campana extractora","campana (extractora), extractor",58,"Máquinas, técnica y materiales (10)"
Puerto Rico,"Aparato electrodoméstico de línea blanca que tiene un ventilador inserto en la carcasa; se coloca encima de la cocina, y se utiliza para aspirar y extraer los productos de combustión, el humo, los olores, el calor, la grasa en suspensión y el vapor del aire, mediante una combinación de filtrado y la evacuación del aire Campana extractora",extractor,58,"Máquinas, técnica y materiales (10)"
España,"Aparato portátil para apagar fuegos o incendios de pequeña magnitud que consiste en una especie de botella grande en cuyo interior hay una sustancia líquida, espumosa o en forma de polvo (agua pulverizada, hidrocarburos, dióxido de carbono, etc.); para apagar el fuego se arroja un chorro de esta sustancia sobre el mismo Extintor","extintor, apagafuegos",59,"Máquinas, técnica y materiales (11)"
Guatemala,"Aparato portátil para apagar fuegos o incendios de pequeña magnitud que consiste en una especie de botella grande en cuyo interior hay una sustancia líquida, espumosa o en forma de polvo (agua pulverizada, hidrocarburos, dióxido de carbono, etc.); para apagar el fuego se arroja un chorro de esta sustancia sobre el mismo Extintor",extintor,59,"Máquinas, técnica y materiales (11)"
