Country,Concept,LocalTerm
Puerto Rico,"Una batidora o batidora mezcladora es un electrodoméstico que permite batir o mezclar alimentos blandos, esponjar y emulsionar mezclas y salsas, y montar claras de huevo a punto de nieve",batidora
España,Pieza de una cocina/estufa por donde se difunde el fuego o el calor que se emplea para cocinar o calentar los alimentos,"fogón, quemador, hornillo (Galicia)"
Guatemala,Pieza de una cocina/estufa por donde se difunde el fuego o el calor que se emplea para cocinar o calentar los alimentos,hornilla
México,Pieza de una cocina/estufa por donde se difunde el fuego o el calor que se emplea para cocinar o calentar los alimentos,"hornilla, quemador"
Puerto Rico,Pieza de una cocina/estufa por donde se difunde el fuego o el calor que se emplea para cocinar o calentar los alimentos,hornilla
España,"Dispositivo constituido por tres o cuatro barras unidas por un extremo y formando un ángulo agudo, que giran sobre un eje vertical; se coloca en la entrada de un lugar para hacer pasar a las personas de una en una",torniquete
Guatemala,"Dispositivo constituido por tres o cuatro barras unidas por un extremo y formando un ángulo agudo, que giran sobre un eje vertical; se coloca en la entrada de un lugar para hacer pasar a las personas de una en una","molinete, torno"
México,"Dispositivo constituido por tres o cuatro barras unidas por un extremo y formando un ángulo agudo, que giran sobre un eje vertical; se coloca en la entrada de un lugar para hacer pasar a las personas de una en una",torniquete
Puerto Rico,"Dispositivo constituido por tres o cuatro barras unidas por un extremo y formando un ángulo agudo, que giran sobre un eje vertical; se coloca en la entrada de un lugar para hacer pasar a las personas de una en una",torno
España,"Cifras que indican zona, ciudad o país, y que, para establecer comunicación telefónica automática, se marcan antes del número del abonado a quien se llama",prefijo
Guatemala,"Cifras que indican zona, ciudad o país, y que, para establecer comunicación telefónica automática, se marcan antes del número del abonado a quien se llama",código de área
México,"Cifras que indican zona, ciudad o país, y que, para establecer comunicación telefónica automática, se marcan antes del número del abonado a quien se llama","(clave) lada, código de país, código de marcación"
Puerto Rico,"Cifras que indican zona, ciudad o país, y que, para establecer comunicación telefónica automática, se marcan antes del número del abonado a quien se llama",código de área
España,Electrodoméstico de cocina que permite moler ingredientes en el mismo recipiente en el que se prepara,"batidora, túrmix"
Guatemala,Electrodoméstico de cocina que permite moler ingredientes en el mismo recipiente en el que se prepara,"batidora de mano, batidora manual, batidora de inmersión"
México,Electrodoméstico de cocina que permite moler ingredientes en el mismo recipiente en el que se prepara,"batidora (de inmersión), batidora de mano, (el) braun, emulsionador"
Puerto Rico,Electrodoméstico de cocina que permite moler ingredientes en el mismo recipiente en el que se prepara,"batidor, batidora, mxer, mezcladora, emulsificadora"
España,Vehículo automóvil de cuatro ruedas para 2 a 6 pasajeros,"coche, auto (en desuso), automóvil (formal)"
Guatemala,Vehículo automóvil de cuatro ruedas para 2 a 6 pasajeros,"carro, automóvil"
