table_index,row_index,column,value
1,4,"('Nombre de la letra b', 'B')","be larga, be de burro, be grande (Pasto), be, be labial"
1,4,"('Nombre de la letra v', 'V')","ve corta, uve, uvé, ve, ve labiodental, ve de vaca"
1,4,"('Nombre de la letra w', 'W')","doble u, doble ve"
1,4,"('Nombre de la letra y', 'Y')","ye, i griega"
1,5,"('País', 'Artículo de Wikipedia')",Costa Rica
1,5,"('Nombre de la letra b', 'B')",be
1,5,"('Nombre de la letra v', 'V')",uve
1,5,"('Nombre de la letra w', 'W')",doble u
1,5,"('Nombre de la letra y', 'Y')","i griega, ye"
1,6,"('País', 'Artículo de Wikipedia')",Cuba
1,6,"('Nombre de la letra b', 'B')",be
1,6,"('Nombre de la letra v', 'V')","ve corta, ve de vaca"
1,6,"('Nombre de la letra w', 'W')",doble ve
1,6,"('Nombre de la letra y', 'Y')",i griega
1,7,"('País', 'Artículo de Wikipedia')",Ecuador
1,7,"('Nombre de la letra b', 'B')","be grande, be de burro"
1,7,"('Nombre de la letra v', 'V')",uve
1,7,"('Nombre de la letra w', 'W')",doble ve
1,7,"('Nombre de la letra y', 'Y')",ye
1,8,"('País', 'Artículo de Wikipedia')",El Salvador
1,8,"('Nombre de la letra b', 'B')","be de burro, be labial"
1,8,"('Nombre de la letra v', 'V')","uve, ve de vaca, ve labiodental"
1,8,"('Nombre de la letra w', 'W')",doble ve
1,8,"('Nombre de la letra y', 'Y')","i griega, ye"
1,9,"('País', 'Artículo de Wikipedia')",España
1,9,"('Nombre de la letra b', 'B')","be, be de burro (informal)"
1,9,"('Nombre de la letra v', 'V')",uve
1,9,"('Nombre de la letra w', 'W')",uve doble
1,9,"('Nombre de la letra y', 'Y')",i griega
1,10,"('País', 'Artículo de Wikipedia')",Filipinas
1,10,"('Nombre de la letra b', 'B')",be grande
1,10,"('Nombre de la letra v', 'V')",ve chica
1,10,"('Nombre de la letra w', 'W')",doble u
1,10,"('Nombre de la letra y', 'Y')","i griega, ye"
1,11,"('País', 'Artículo de Wikipedia')",Guatemala
1,11,"('Nombre de la letra b', 'B')","be grande, be labial"
1,11,"('Nombre de la letra v', 'V')","ve pequeña, uve, ve de vaca"
1,11,"('Nombre de la letra w', 'W')",doble ve
1,11,"('Nombre de la letra y', 'Y')",i griega
1,12,"('País', 'Artículo de Wikipedia')",Guinea Ecuatorial
1,12,"('Nombre de la letra b', 'B')",be
1,12,"('Nombre de la letra v', 'V')",uve
1,12,"('Nombre de la letra w', 'W')","uve doble, doble uve, doble u"
1,12,"('Nombre de la letra y', 'Y')",i griega
1,13,"('País', 'Artículo de Wikipedia')",Honduras
1,13,"('Nombre de la letra b', 'B')","be labial, be de burro, be grande"
1,13,"('Nombre de la letra v', 'V')",ve dental
1,13,"('Nombre de la letra w', 'W')",doble ve
1,13,"('Nombre de la letra y', 'Y')","i griega, ye"
1,14,"('País', 'Artículo de Wikipedia')",México
1,14,"('Nombre de la letra b', 'B')","be, be larga, be de burro (informal), be grande"
1,14,"('Nombre de la letra v', 'V')","ve corta, ve chica, ve de vaca, uvé, ve chiquita"
1,14,"('Nombre de la letra w', 'W')","doble u, doble ve"
1,14,"('Nombre de la letra y', 'Y')","i griega, ye"
1,15,"('País', 'Artículo de Wikipedia')",Nicaragua
1,15,"('Nombre de la letra b', 'B')",be de burro
1,15,"('Nombre de la letra v', 'V')","ve de vaca, ve pequeña"
1,15,"('Nombre de la letra w', 'W')",doble ve
1,15,"('Nombre de la letra y', 'Y')",ye
1,16,"('País', 'Artículo de Wikipedia')",Panamá
1,16,"('Nombre de la letra b', 'B')",be
1,16,"('Nombre de la letra v', 'V')",uve
1,16,"('Nombre de la letra w', 'W')",doble u
1,16,"('Nombre de la letra y', 'Y')",i griega
1,17,"('País', 'Artículo de Wikipedia')",Paraguay
1,17,"('Nombre de la letra b', 'B')",be larga
1,17,"('Nombre de la letra v', 'V')",ve corta
1,17,"('Nombre de la letra w', 'W')","ve doble, doble ve"
1,17,"('Nombre de la letra y', 'Y')",i griega
1,18,"('País', 'Artículo de Wikipedia')",Perú
1,18,"('Nombre de la letra b', 'B')","be, be grande"
1,18,"('Nombre de la letra v', 'V')",ve chica
1,18,"('Nombre de la letra w', 'W')",ve doble
1,18,"('Nombre de la letra y', 'Y')",i griega
1,19,"('País', 'Artículo de Wikipedia')",Puerto Rico
1,19,"('Nombre de la letra b', 'B')","be, be larga, be de burro"
1,19,"('Nombre de la letra v', 'V')","uve, ve de vaca"
1,19,"('Nombre de la letra w', 'W')",doble u
1,19,"('Nombre de la letra y', 'Y')","i griega, ye"
1,20,"('País', 'Artículo de Wikipedia')",Rep. Dominicana
1,20,"('Nombre de la letra b', 'B')","be, be larga, be alta, be de burro"
1,20,"('Nombre de la letra v', 'V')",ve corta
1,20,"('Nombre de la letra w', 'W')",doble u
1,20,"('Nombre de la letra y', 'Y')","i griega, ye"
1,21,"('País', 'Artículo de Wikipedia')",Uruguay
1,21,"('Nombre de la letra b', 'B')","be larga, be de burro (informal)"
1,21,"('Nombre de la letra v', 'V')","ve corta, uve"
1,21,"('Nombre de la letra w', 'W')",doble ve
1,21,"('Nombre de la letra y', 'Y')","i griega, ye"
1,22,"('País', 'Artículo de Wikipedia')",Venezuela
1,22,"('Nombre de la letra b', 'B')","be grande, be alta, be de burro (informal)"
1,22,"('Nombre de la letra v', 'V')","ve de vaca, ve labiodental, ve de Venezuela, ve pequeña"
1,22,"('Nombre de la letra w', 'W')",doble ve
